175,ELISABET,21222,30.0
176,ROSALIA,21007,57.9
177,AITANA,20889,6.6
178,EMMA,20588,18.9
179,LEIRE,20226,15.7
180,MARIA ENCARNACION,20125,54.8
181,MARIA MAGDALENA,19968,49.7
182,JUDITH,19894,20.7
183,ADORACION,19875,62.0
184,JENNIFER,19571,21.8
185,ESTER,19468,33.6
186,ESTRELLA,19254,48.5
187,MARIA FRANCISCA,19247,54.7
188,SHEILA,19115,19.8
189,AINARA,18780,12.7
190,VALENTINA,18760,44.1
191,LARA,18638,16.2
192,JUDIT,18540,21.5
193,GABRIELA,18326,31.2
194,BERTA,17688,26.3
195,AROA,17609,13.4
196,SORAYA,17484,25.1
197,RUTH,17459,28.3
198,ALEXANDRA,17371,22.5
199,MARIA GLORIA,17306,55.5
200,MARIA MILAGROS,17227,56.6
201,MARIA MONTSERRAT,17156,49.6
202,MARIA CONSUELO,17027,54.9
203,EUGENIA,16975,59.4
204,VALERIA,16965,10.0
205,MARIA YOLANDA,16924,45.4
206,EULALIA,16182,60.7
207,HELENA,16094,18.7
208,HERMINIA,15987,65.5
209,NOA,15706,5.0
210,AIDA,15629,25.8
211,ENRIQUETA,15599,67.5
212,NADIA,14972,22.4
213,ERIKA,14908,17.3
214,ELISABETH,14809,30.7
215,CANDELA,14490,8.1
216,MARIA REYES,14165,46.1
217,GREGORIA,14142,69.7
218,NAIARA,14095,13.2
219,FLORENTINA,14088,61.7
220,PIEDAD,13921,63.0
221,MARIA REMEDIOS,13917,51.7
222,ESTELA,13810,23.3
223,MACARENA,13706,26.1
224,AURELIA,13593,65.1
225,MARIA ARANZAZU,13341,46.4
226,PAOLA,13221,15.2
227,MARIA TRINIDAD,13090,47.5
228,TATIANA,13090,27.6
229,CANDIDA,12857,66.8
230,ARANZAZU,12764,34.4
231,MARIA ESPERANZA,12727,51.0
232,AMAIA,12690,27.6
233,YAIZA,12642,14.6
234,MIRIAN,12576,24.8
235,SARAY,12391,15.8
236,ELSA,12291,23.1
237,MAR,12215,11.0
238,NORA,12204,12.9
239,ITZIAR,12167,27.7
240,JOANA,11974,33.2
241,MAITE,11887,32.4
242,AMANDA,11879,21.6
243,AFRICA,11697,28.2
244,AINA,11550,10.9
245,SAGRARIO,11510,62.8
246,MERCE,11378,53.2
247,CARIDAD,11321,58.9
248,RITA,11170,52.2
249,ANA ROSA,11155,44.0
250,TOMASA,10867,70.3
251,ANTONIA MARIA,10755,46.2
252,TEODORA,10733,66.5
253,MARIA CARME,10721,54.1
254,MARIA SOL,10667,47.5
255,MERITXELL,10625,27.3
256,FELICIDAD,10551,65.8
257,DESIREE,10480,19.1
258,AGUEDA,10473,54.2
259,MARIA MANUELA,10391,58.2
260,BENITA,10363,68.8
261,JIMENA,10324,7.2
262,ADELINA,10321,63.1
263,MARIA JULIA,10319,52.0
264,ELIZABETH,10199,33.4
265,CONSOLACION,10166,58.1
266,FILOMENA,10145,69.1
267,MARIA INES,10136,49.0
268,ROSER,10050,49.8
269,MARIA FERNANDA,10009,41.6
270,LOLA,9964,7.8
271,NEUS,9911,29.7
272,CARME,9890,58.8
273,IRIS,9864,16.8
274,HORTENSIA,9850,66.3
275,LEYRE,9820,11.2
276,KHADIJA,9814,31.8
277,LYDIA,9770,24.6
278,MARIA GRACIA,9757,51.7
279,CANDELARIA,9712,59.9
280,MARIA ASCENSION,9681,54.8
281,ESMERALDA,9666,36.9
282,ANE,9645,13.8
283,IRIA,9602,14.7
284,ELOISA,9583,58.9
285,MARIA CANDELARIA,9526,50.3
286,VIOLETA,9496,27.5
287,ADELAIDA,9490,59.3
288,ALBA MARIA,9459,17.8
289,MARIA DOLORS,9374,57.6
290,MARCELINA,9355,69.6
291,ANA CRISTINA,9209,35.1
292,MARIA PURIFICACION,9150,58.9
293,AMAYA,9133,32.8
294,FLORA,8889,64.8
295,VISITACION,8726,67.5
296,MARIA SAGRARIO,8615,57.0
297,AZUCENA,8523,43.2
298,MICAELA,8506,58.7
299,FERNANDA,8473,61.1
300,MARIA AURORA,8410,52.9
301,ANNA MARIA,8315,47.1
302,MARIA PINO,8300,53.6
303,GISELA,8273,19.4
304,MONSERRAT,8260,43.0
305,ANGELA MARIA,8239,36.0
306,REGINA,8110,54.8
307,PAULINA,8091,61.0
308,JENIFER,8077,22.1
309,ELENA MARIA,8068,34.7
310,ANABEL,8055,23.7
311,ESTIBALIZ,8015,29.8
312,MARIA BLANCA,7988,54.4
313,AVELINA,7948,68.6
314,OLIVIA,7863,22.4
315,FUENSANTA,7846,55.4
316,ELIA,7669,34.4
317,MARIA AUXILIADORA,7652,44.6
318,IRINA,7650,29.1
319,FLORENCIA,7643,64.3
320,MARIA SOCORRO,7615,61.5
321,LUISA MARIA,7584,42.8
322,VIRTUDES,7583,64.0
323,ROSA ANA,7527,39.7
324,DOLORS,7486,66.4
325,DELIA,7459,45.3
326,SALVADORA,7457,63.6
327,YASMINA,7454,17.9
328,MARIA VALLE,7398,46.6
329,DELFINA,7390,66.9
330,NAZARET,7379,17.1
331,SEBASTIANA,7322,65.1
332,MARIA PALOMA,7306,48.7
333,MARTA MARIA,7292,36.7
334,EDURNE,7274,26.5
335,AICHA,7263,39.4
336,NAYARA,7234,7.1
337,MARIA GUADALUPE,7226,48.9
338,FELIPA,7224,71.0
339,GENOVEVA,7191,59.7
340,MARIA LUCIA,7166,46.1
341,ZAIRA,7149,12.4
342,IRATI,7142,11.3
343,JESUSA,7113,72.7
344,JUSTA,7074,69.9
345,ARANTXA,7043,23.8
346,PATROCINIO,7038,68.3
347,MARIA ESTRELLA,7024,52.0
348,NAIMA,7019,34.3
349,MARIA GEMA,6971,40.6
350,ANGELICA,6901,39.6
351,LAURA MARIA,6899,27.3
352,SALMA,6894,7.8
353,JANA,6837,12.2
354,MARISOL,6813,44.1
355,INMACULADA CONCEPCION,6800,37.1
356,ANGELINA,6791,59.5
357,ALFONSA,6790,65.2
358,MARIA DESAMPARADOS,6784,53.0
359,AINOA,6762,14.7
360,MARIA ELISA,6761,50.9
361,MARIA ANGELS,6678,51.7
362,MIHAELA,6673,33.3
363,LILIANA,6671,36.6
364,AUREA,6670,64.6
365,SABINA,6656,53.1
366,ISIDORA,6643,67.6
367,LUZ MARIA,6629,37.6
368,LORENZA,6626,67.7
369,PALMIRA,6616,65.6
370,FABIOLA,6587,35.8
