175,BRUNO,15629,20.2
176,CARLES,15327,32.9
177,PEDRO ANTONIO,15306,44.1
178,ELIAS,15270,42.2
179,EUSEBIO,15213,60.7
180,ROGER,15023,21.5
181,JACINTO,15003,59.3
182,JOSE ENRIQUE,14756,43.0
183,KEVIN,14717,14.4
184,ADRIA,14659,13.8
185,JUAN PABLO,14650,33.3
186,MARCO ANTONIO,14642,34.5
187,MATIAS,14626,46.5
188,CARLOS ALBERTO,14572,39.2
189,VICTORIANO,14524,61.6
190,ANGEL LUIS,14485,43.2
191,JERONIMO,14205,52.9
192,JUAN IGNACIO,14138,43.1
193,MARCO,13626,15.4
194,ISIDORO,13485,59.0
195,ALONSO,13460,34.7
196,FRANCISCO JESUS,13432,33.5
197,TEODORO,13329,62.2
198,DIONISIO,13211,61.0
199,ROMAN,13162,45.4
200,GUILLEM,13031,16.6
201,JOSE JUAN,12979,44.6
202,ALEXANDER,12975,24.6
203,CANDIDO,12965,60.5
204,GUSTAVO,12959,38.0
205,FLORENCIO,12899,62.7
206,BLAS,12844,55.7
207,MANUEL ANGEL,12786,43.8
208,JUSTO,12757,60.0
209,ANDER,12629,16.7
210,JUAN BAUTISTA,12595,54.3
211,LUIS FERNANDO,12538,42.8
212,SANTOS,12511,57.4
213,SAID,12492,36.0
214,ARMANDO,12416,48.9
215,DAMIAN,12363,39.0
216,LUIS MANUEL,12331,40.3
217,XABIER,12285,23.1
218,GORKA,12231,24.1
219,FERRAN,12134,25.8
220,CARLOS JAVIER,12024,36.3
221,ENRIC,12010,39.0
222,GINES,11994,51.1
223,PEDRO LUIS,11860,45.1
224,SAUL,11722,16.9
225,EMILIANO,11696,60.3
226,ABRAHAM,11604,22.3
227,MARTI,11480,18.1
228,RACHID,11361,34.4
229,SERAFIN,11351,58.6
230,ION,11349,39.5
231,JOSE JOAQUIN,11346,44.7
232,ADAM,11336,7.8
233,FAUSTINO,11335,61.3
234,JUAN MARIA,11316,49.7
235,LEONARDO,11069,43.1
236,JOSE DAVID,10999,28.4
237,EDUARD,10959,30.6
238,GHEORGHE,10863,44.1
239,VASILE,10707,41.6
240,MAXIMO,10525,56.0
241,FIDEL,10492,56.1
242,IOAN,10424,43.6
243,YOUSSEF,10362,23.4
244,RAMIRO,10300,54.8
245,AMADOR,10250,57.1
246,ALEIX,10125,13.9
247,YERAY,10073,13.6
248,LUIS MARIA,10013,51.8
249,LUIS ANTONIO,10010,45.6
250,JOSE ANDRES,9959,42.3
251,ROGELIO,9958,57.4
252,FRANCISCO ANTONIO,9952,42.4
253,JULIO CESAR,9945,40.2
